date,college,in-state-less-than-6hrs,in-state-more-than-6hrs,out-of-state-less-than-6hrs,out-of-state-more-than-6hrs
Spring 2015,College of Architecture,2675,4501,8399,14153
Spring 2015,College of Computing,2675,4501,8399,14153
Spring 2015,College of Engineering,2675,4501,8399,14153
Spring 2015,Ivan Allen College,2675,4501,8399,14153
Spring 2015,Scheller College of Business,2675,4501,8399,14153
Spring 2015,College of Sciences,2675,4501,8399,14153
Summer 2015,College of Architecture,2675,4501,8399,14153
Summer 2015,College of Computing,2675,4501,8399,14153
Summer 2015,College of Engineering,2675,4501,8399,14153
Summer 2015,Ivan Allen College,2675,4501,8399,14153
Summer 2015,Scheller College of Business,2675,4501,8399,14153
Summer 2015,College of Sciences,2675,4501,8399,14153
Fall 2014,College of Architecture,2675,4501,8399,14153
Fall 2014,College of Computing,2675,4501,8399,14153
Fall 2014,College of Engineering,2675,4501,8399,14153
Fall 2014,Ivan Allen College,2675,4501,8399,14153
Fall 2014,Scheller College of Business,2675,4501,8399,14153
Fall 2014,College of Sciences,2675,4501,8399,14153
Summer 2014,College of Architecture,2454,4129,8178,13781
Summer 2014,College of Computing,2454,4129,8178,13781
Summer 2014,College of Engineering,2454,4129,8178,13781
Summer 2014,Ivan Allen College,2454,4129,8178,13781
Summer 2014,Scheller College of Business,2454,4129,8178,13781
Summer 2014,College of Sciences,2454,4129,8178,13781
Spring 2014,College of Architecture,2454,4129,8178,13781
Spring 2014,College of Computing,2454,4129,8178,13781
Spring 2014,College of Engineering,2454,4129,8178,13781
Spring 2014,Ivan Allen College,2454,4129,8178,13781
Spring 2014,Scheller College of Business,2454,4129,8178,13781
Spring 2014,College of Sciences,2454,4129,8178,13781
Fall 2013,College of Architecture,2454,4129,8178,13781
Fall 2013,College of Computing,2454,4129,8178,13781
Fall 2013,College of Engineering,2454,4129,8178,13781
Fall 2013,Ivan Allen College,2454,4129,8178,13781
Fall 2013,Scheller College of Business,2454,4129,8178,13781
Fall 2013,College of Sciences,2454,4129,8178,13781
Summer 2013,College of Architecture,2293,3859,8017,13511
Summer 2013,College of Computing,2293,3859,8017,13511
Summer 2013,College of Engineering,2293,3859,8017,13511
Summer 2013,Ivan Allen College,2293,3859,8017,13511
Summer 2013,Scheller College of Business,2293,3859,8017,13511
Summer 2013,College of Sciences,2293,3859,8017,13511
Spring 2013,College of Architecture,2293,3859,8017,13511
Spring 2013,College of Computing,2293,3859,8017,13511
Spring 2013,College of Engineering,2293,3859,8017,13511
Spring 2013,Ivan Allen College,2293,3859,8017,13511
Spring 2013,Scheller College of Business,2293,3859,8017,13511
Spring 2013,College of Sciences,2293,3859,8017,13511
Fall 2012,College of Architecture,2293,3859,8017,13511
Fall 2012,College of Computing,2293,3859,8017,13511
Fall 2012,College of Engineering,2293,3859,8017,13511
Fall 2012,Ivan Allen College,2293,3859,8017,13511
Fall 2012,Scheller College of Business,2293,3859,8017,13511
Fall 2012,College of Sciences,2293,3859,8017,13511
Summer 2012,College of Architecture,2163,3641,7563,12746
Summer 2012,College of Computing,2163,3641,7563,12746
Summer 2012,College of Engineering,2163,3641,7563,12746
Summer 2012,Ivan Allen College,2163,3641,7563,12746
Summer 2012,Scheller College of Business,2163,3641,7563,12746
Summer 2012,College of Sciences,2163,3641,7563,12746
Spring 2012,College of Architecture,2163,3641,7563,12746
Spring 2012,College of Computing,2163,3641,7563,12746
Spring 2012,College of Engineering,2163,3641,7563,12746
Spring 2012,Ivan Allen College,2163,3641,7563,12746
Spring 2012,Scheller College of Business,2163,3641,7563,12746
Spring 2012,College of Sciences,2163,3641,7563,12746
Fall 2011,College of Architecture,2163,3641,7563,12746
Fall 2011,College of Computing,2163,3641,7563,12746
Fall 2011,College of Engineering,2163,3641,7563,12746
Fall 2011,Ivan Allen College,2163,3641,7563,12746
Fall 2011,Scheller College of Business,2163,3641,7563,12746
Fall 2011,College of Sciences,2163,3641,7563,12746
Summer 2011,College of Architecture,2100,3535,7500,12640
Summer 2011,College of Computing,2100,3535,7500,12640
Summer 2011,College of Engineering,2100,3535,7500,12640
Summer 2011,Ivan Allen College,2100,3535,7500,12640
Summer 2011,Scheller College of Business,2100,3535,7500,12640
Summer 2011,College of Sciences,2100,3535,7500,12640
Spring 2011,College of Architecture,2100,3535,7500,12640
Spring 2011,College of Computing,2100,3535,7500,12640
Spring 2011,College of Engineering,2100,3535,7500,12640
Spring 2011,Ivan Allen College,2100,3535,7500,12640
Spring 2011,Scheller College of Business,2100,3535,7500,12640
Spring 2011,College of Sciences,2100,3535,7500,12640
Fall 2010,College of Architecture,2100,3535,7500,12640
Fall 2010,College of Computing,2100,3535,7500,12640
Fall 2010,College of Engineering,2100,3535,7500,12640
Fall 2010,Ivan Allen College,2100,3535,7500,12640
Fall 2010,Scheller College of Business,2100,3535,7500,12640
Fall 2010,College of Sciences,2100,3535,7500,12640
Summer 2010,College of Architecture,1800,3035,7200,12140
Summer 2010,College of Computing,1800,3035,7200,12140
Summer 2010,College of Engineering,1800,3035,7200,12140
Summer 2010,Ivan Allen College,1800,3035,7200,12140
Summer 2010,Scheller College of Business,1800,3035,7200,12140
Summer 2010,College of Sciences,1800,3035,7200,12140
Spring 2010,College of Architecture,1800,3035,7200,12140
Spring 2010,College of Computing,1800,3035,7200,12140
Spring 2010,College of Engineering,1800,3035,7200,12140
Spring 2010,Ivan Allen College,1800,3035,7200,12140
Spring 2010,Scheller College of Business,1800,3035,7200,12140
Spring 2010,College of Sciences,1800,3035,7200,12140
Fall 2009,College of Architecture,1800,3035,7200,12140
Fall 2009,College of Computing,1800,3035,7200,12140
Fall 2009,College of Engineering,1800,3035,7200,12140
Fall 2009,Ivan Allen College,1800,3035,7200,12140
Fall 2009,Scheller College of Business,1800,3035,7200,12140
Fall 2009,College of Sciences,1800,3035,7200,12140
