date	College of Architecture	College of Computing	College of Engineering	Ivan Allen College	Scheller College of Business	College of Sciences	United States
20141231	61.9	92	72	80	88	26.7	94.4
20140630	55.9	74.1	75.3	29.4	87.5	50	93.7
20131231	63.2	83.3	69.7	53.3	97.5	40	93.3
20130630	46.9	84.6	77.6	36.4	89.3	66.7	92.5
20121231	67.9	86.4	74.2	40	87.5	66.7	92.1
20120630	35.6	70	68.3	37.5	81.1	75	91.8
20111231	84.2	85.7	61.3	63.6	88.9	22.2	91.5
20110630	38.2	76.3	66.9	40	90.6	80	91
20101231	55.6	84.8	63.7	36.8	93.4	27.3	90.7
20100630	40.4	73.3	62	34.8	81	52	90.4
20091231	50	63.6	43.8	27.3	79.5	90.9	90.1
20090630	43.9	59.6	53.3	35.3	58.3	63.6	90.6
20081231	55.6	72.7	61.3	33.3	87.8	33.3	92.7
20080630	68.2	80	71.8	60	96	90	94.6
20071231	81.8	85.7	69	66.7	95.8	50	95
20070630	58.8	86	71.3	46.7	84.8	72.2	95.6
20061231	100	70	73.9	70	70	50	95.6
